pod,hsagrp,hsagrp_lab,sex,age,urt
aae,walkin,Walk-in arrivals,f,17,0.24034419712667504
aae,walkin,Walk-in arrivals,f,18,0.24636848029293698
aae,walkin,Walk-in arrivals,f,19,0.1727983950282049
aae,walkin,Walk-in arrivals,f,20,0.21063967944758555
aae,walkin,Walk-in arrivals,f,21,0.1948166356331269
aae,walkin,Walk-in arrivals,f,22,0.17632533384391538
aae,walkin,Walk-in arrivals,f,23,0.18342093813208946
aae,walkin,Walk-in arrivals,f,24,0.18437051006514807
aae,walkin,Walk-in arrivals,f,25,0.15947665442009756
aae,walkin,Walk-in arrivals,f,26,0.13601065068018403
aae,walkin,Walk-in arrivals,f,27,0.14609480619233275
aae,walkin,Walk-in arrivals,f,28,0.1480337451749827
aae,walkin,Walk-in arrivals,f,29,0.14666996789618983
aae,walkin,Walk-in arrivals,f,30,0.14705498802195502
aae,walkin,Walk-in arrivals,f,31,0.15138817241341881
aae,walkin,Walk-in arrivals,f,32,0.15475852411453334
aae,walkin,Walk-in arrivals,f,33,0.16467856962510216
aae,walkin,Walk-in arrivals,f,34,0.17670036106951778
aae,walkin,Walk-in arrivals,f,35,0.16984745169195165
aae,walkin,Walk-in arrivals,f,36,0.1634167397346112
aae,walkin,Walk-in arrivals,f,37,0.17588893068200728
aae,walkin,Walk-in arrivals,f,38,0.18193019669135127
aae,walkin,Walk-in arrivals,f,39,0.18572716425150682
aae,walkin,Walk-in arrivals,f,40,0.20293297058519322
aae,walkin,Walk-in arrivals,f,41,0.1996408271815051
aae,walkin,Walk-in arrivals,f,42,0.16878613621998226
aae,walkin,Walk-in arrivals,f,43,0.18167748881337684
aae,walkin,Walk-in arrivals,f,44,0.17863576772505838
aae,walkin,Walk-in arrivals,f,45,0.162685165894262
aae,walkin,Walk-in arrivals,f,46,0.17489607235583476
aae,walkin,Walk-in arrivals,f,47,0.1874376637769587
aae,walkin,Walk-in arrivals,f,48,0.16516685844651338
aae,walkin,Walk-in arrivals,f,49,0.18448153400165582
aae,walkin,Walk-in arrivals,f,50,0.16388932787815996
aae,walkin,Walk-in arrivals,f,51,0.18681735927098816
aae,walkin,Walk-in arrivals,f,52,0.18755879819467214
aae,walkin,Walk-in arrivals,f,53,0.1745277063991313
aae,walkin,Walk-in arrivals,f,54,0.19885467640740512
aae,walkin,Walk-in arrivals,f,55,0.17257210087752914
aae,walkin,Walk-in arrivals,f,56,0.17948835620280143
aae,walkin,Walk-in arrivals,f,57,0.16677961235351368
aae,walkin,Walk-in arrivals,f,58,0.1745489435773217
aae,walkin,Walk-in arrivals,f,59,0.18686049311558
aae,walkin,Walk-in arrivals,f,60,0.16439529929077543
aae,walkin,Walk-in arrivals,f,61,0.15400632041939
aae,walkin,Walk-in arrivals,f,62,0.15406314021029618
aae,walkin,Walk-in arrivals,f,63,0.1502216568489889
aae,walkin,Walk-in arrivals,f,64,0.1501011380157023
aae,walkin,Walk-in arrivals,f,65,0.16938857341737476
aae,walkin,Walk-in arrivals,f,66,0.1449912763582058
aae,walkin,Walk-in arrivals,f,67,0.17215756828146198
aae,walkin,Walk-in arrivals,f,68,0.14537062014806823
aae,walkin,Walk-in arrivals,f,69,0.13555812979074752
aae,walkin,Walk-in arrivals,f,70,0.15111644194359478
aae,walkin,Walk-in arrivals,f,71,0.154567056074205
aae,walkin,Walk-in arrivals,f,72,0.14065374379550427
aae,walkin,Walk-in arrivals,f,73,0.12406665363181571
aae,walkin,Walk-in arrivals,f,74,0.17022129505245542
aae,walkin,Walk-in arrivals,f,75,0.16097710173899174
aae,walkin,Walk-in arrivals,f,76,0.153679706902063
aae,walkin,Walk-in arrivals,f,77,0.17419950154796093
aae,walkin,Walk-in arrivals,f,78,0.16741254420467822
aae,walkin,Walk-in arrivals,f,79,0.16126842628438456
aae,walkin,Walk-in arrivals,f,80,0.1847675773068691
aae,walkin,Walk-in arrivals,f,81,0.16416224245623195
aae,walkin,Walk-in arrivals,f,82,0.16915946939113388
aae,walkin,Walk-in arrivals,f,83,0.18377801657575613
aae,walkin,Walk-in arrivals,f,84,0.17190471802812912
aae,walkin,Walk-in arrivals,f,85,0.190074752598702
aae,walkin,Walk-in arrivals,f,86,0.17992195109845452
aae,walkin,Walk-in arrivals,f,87,0.19130491817615358
aae,walkin,Walk-in arrivals,f,88,0.19325398144761777
aae,walkin,Walk-in arrivals,f,89,0.17946832508692998
aae,walkin,Walk-in arrivals,f,90,0.1613510460926155
aae,walkin,Walk-in arrivals,m,17,0.21647182554940847
aae,walkin,Walk-in arrivals,m,18,0.21753002481641992
aae,walkin,Walk-in arrivals,m,19,0.1407912943327664
aae,walkin,Walk-in arrivals,m,20,0.13057773463688507
aae,walkin,Walk-in arrivals,m,21,0.15662146111989908
aae,walkin,Walk-in arrivals,m,22,0.15232418057402347
aae,walkin,Walk-in arrivals,m,23,0.14829050420204187
aae,walkin,Walk-in arrivals,m,24,0.14217442863651492
aae,walkin,Walk-in arrivals,m,25,0.1548370213137158
aae,walkin,Walk-in arrivals,m,26,0.12436839043602387
aae,walkin,Walk-in arrivals,m,27,0.1415737795890383
aae,walkin,Walk-in arrivals,m,28,0.13186119555591744
aae,walkin,Walk-in arrivals,m,29,0.1322735712487412
aae,walkin,Walk-in arrivals,m,30,0.1318246284543206
aae,walkin,Walk-in arrivals,m,31,0.14349788340621975
aae,walkin,Walk-in arrivals,m,32,0.14573991625519434
aae,walkin,Walk-in arrivals,m,33,0.1541464128426302
aae,walkin,Walk-in arrivals,m,34,0.15679501343612653
aae,walkin,Walk-in arrivals,m,35,0.16919284687281327
aae,walkin,Walk-in arrivals,m,36,0.1557807295191332
aae,walkin,Walk-in arrivals,m,37,0.17998249751042172
aae,walkin,Walk-in arrivals,m,38,0.1631776016628865
aae,walkin,Walk-in arrivals,m,39,0.16892753457607962
aae,walkin,Walk-in arrivals,m,40,0.20281259298268428
aae,walkin,Walk-in arrivals,m,41,0.1863934499451986
aae,walkin,Walk-in arrivals,m,42,0.16001585252939032
aae,walkin,Walk-in arrivals,m,43,0.17795201257053017
aae,walkin,Walk-in arrivals,m,44,0.17059687520960087
aae,walkin,Walk-in arrivals,m,45,0.173467601487802
aae,walkin,Walk-in arrivals,m,46,0.1657097885923579
aae,walkin,Walk-in arrivals,m,47,0.16942810953527282
aae,walkin,Walk-in arrivals,m,48,0.17169646780594228
aae,walkin,Walk-in arrivals,m,49,0.1874405858090075
aae,walkin,Walk-in arrivals,m,50,0.1902587519025875
aae,walkin,Walk-in arrivals,m,51,0.19632885183363596
aae,walkin,Walk-in arrivals,m,52,0.18517496455111576
aae,walkin,Walk-in arrivals,m,53,0.17716711326473286
aae,walkin,Walk-in arrivals,m,54,0.15785915190915256
aae,walkin,Walk-in arrivals,m,55,0.1870930094972457
aae,walkin,Walk-in arrivals,m,56,0.18229848921491573
aae,walkin,Walk-in arrivals,m,57,0.15103700130917108
aae,walkin,Walk-in arrivals,m,58,0.16669463432198067
aae,walkin,Walk-in arrivals,m,59,0.15406570455350918
aae,walkin,Walk-in arrivals,m,60,0.15131840362446808
aae,walkin,Walk-in arrivals,m,61,0.17080185935020675
aae,walkin,Walk-in arrivals,m,62,0.15002015330975185
aae,walkin,Walk-in arrivals,m,63,0.12713364716729603
aae,walkin,Walk-in arrivals,m,64,0.15199946928998856
aae,walkin,Walk-in arrivals,m,65,0.13579477705692777
aae,walkin,Walk-in arrivals,m,66,0.15185421994884912
aae,walkin,Walk-in arrivals,m,67,0.15293939526687156
aae,walkin,Walk-in arrivals,m,68,0.14844735485845353
aae,walkin,Walk-in arrivals,m,69,0.14184808714630665
aae,walkin,Walk-in arrivals,m,70,0.14665422535694436
aae,walkin,Walk-in arrivals,m,71,0.137141812252859
aae,walkin,Walk-in arrivals,m,72,0.1571790442993071
aae,walkin,Walk-in arrivals,m,73,0.13718332437471584
aae,walkin,Walk-in arrivals,m,74,0.165246784392744
aae,walkin,Walk-in arrivals,m,75,0.14968269776721915
aae,walkin,Walk-in arrivals,m,76,0.1714462286813592
aae,walkin,Walk-in arrivals,m,77,0.1719119573658346
aae,walkin,Walk-in arrivals,m,78,0.15625284278502496
aae,walkin,Walk-in arrivals,m,79,0.15604124500411742
aae,walkin,Walk-in arrivals,m,80,0.16583219904109192
aae,walkin,Walk-in arrivals,m,81,0.18076700358776546
aae,walkin,Walk-in arrivals,m,82,0.18772348033373062
aae,walkin,Walk-in arrivals,m,83,0.18679059117715732
aae,walkin,Walk-in arrivals,m,84,0.19845036152478904
aae,walkin,Walk-in arrivals,m,85,0.18860353130016053
aae,walkin,Walk-in arrivals,m,86,0.19664770894371456
aae,walkin,Walk-in arrivals,m,87,0.1731911150208929
aae,walkin,Walk-in arrivals,m,88,0.18807250349167393
aae,walkin,Walk-in arrivals,m,89,0.1487833579051303
aae,walkin,Walk-in arrivals,m,90,0.16564387248144732
aae,amb,Ambulance arrivals,f,17,0.05049247838795694
aae,amb,Ambulance arrivals,f,18,0.052333173918434325
aae,amb,Ambulance arrivals,f,19,0.035067231033761206
aae,amb,Ambulance arrivals,f,20,0.04355331717901205
aae,amb,Ambulance arrivals,f,21,0.03492728527287136
aae,amb,Ambulance arrivals,f,22,0.03849898118862781
aae,amb,Ambulance arrivals,f,23,0.035111205614871646
aae,amb,Ambulance arrivals,f,24,0.020802236838880692
aae,amb,Ambulance arrivals,f,25,0.027307646304811223
aae,amb,Ambulance arrivals,f,26,0.027725248023268284
aae,amb,Ambulance arrivals,f,27,0.026637586843338865
aae,amb,Ambulance arrivals,f,28,0.018198643902245577
aae,amb,Ambulance arrivals,f,29,0.025785079422203504
aae,amb,Ambulance arrivals,f,30,0.026358912947331562
aae,amb,Ambulance arrivals,f,31,0.028563806115739398
aae,amb,Ambulance arrivals,f,32,0.026143673005756117
aae,amb,Ambulance arrivals,f,33,0.029590680479510544
aae,amb,Ambulance arrivals,f,34,0.031452664270374166
aae,amb,Ambulance arrivals,f,35,0.03505362300876449
aae,amb,Ambulance arrivals,f,36,0.035313042609318286
aae,amb,Ambulance arrivals,f,37,0.04046271175313783
aae,amb,Ambulance arrivals,f,38,0.031010828981480332
aae,amb,Ambulance arrivals,f,39,0.02841031964577844
aae,amb,Ambulance arrivals,f,40,0.04887847893664869
aae,amb,Ambulance arrivals,f,41,0.06639638370063632
aae,amb,Ambulance arrivals,f,42,0.04611167638999515
aae,amb,Ambulance arrivals,f,43,0.04614031461927031
aae,amb,Ambulance arrivals,f,44,0.04642511477600387
aae,amb,Ambulance arrivals,f,45,0.04460722290649119
aae,amb,Ambulance arrivals,f,46,0.049093634345497475
aae,amb,Ambulance arrivals,f,47,0.046463420879922154
aae,amb,Ambulance arrivals,f,48,0.04141646299414081
aae,amb,Ambulance arrivals,f,49,0.046748726599874633
aae,amb,Ambulance arrivals,f,50,0.06438509309499142
aae,amb,Ambulance arrivals,f,51,0.04392732501777289
aae,amb,Ambulance arrivals,f,52,0.04564923130663978
aae,amb,Ambulance arrivals,f,53,0.057337632649858694
aae,amb,Ambulance arrivals,f,54,0.060003530786274364
aae,amb,Ambulance arrivals,f,55,0.050756500258096804
aae,amb,Ambulance arrivals,f,56,0.05914957193046866
aae,amb,Ambulance arrivals,f,57,0.07283413450881293
aae,amb,Ambulance arrivals,f,58,0.06210944004591815
aae,amb,Ambulance arrivals,f,59,0.05992610566388864
aae,amb,Ambulance arrivals,f,60,0.05147731593953574
aae,amb,Ambulance arrivals,f,61,0.06496266606781542
aae,amb,Ambulance arrivals,f,62,0.07886565510765162
aae,amb,Ambulance arrivals,f,63,0.07670893115693049
aae,amb,Ambulance arrivals,f,64,0.060958104084979536
aae,amb,Ambulance arrivals,f,65,0.056242299767487715
aae,amb,Ambulance arrivals,f,66,0.06973389958180375
aae,amb,Ambulance arrivals,f,67,0.08465599432022303
aae,amb,Ambulance arrivals,f,68,0.10115996762881035
aae,amb,Ambulance arrivals,f,69,0.08988881333718017
aae,amb,Ambulance arrivals,f,70,0.09415108162977895
aae,amb,Ambulance arrivals,f,71,0.09530300348616785
aae,amb,Ambulance arrivals,f,72,0.12658836941595383
aae,amb,Ambulance arrivals,f,73,0.14055652531705704
aae,amb,Ambulance arrivals,f,74,0.14664085591098974
aae,amb,Ambulance arrivals,f,75,0.16097710173899174
aae,amb,Ambulance arrivals,f,76,0.1844156482824756
aae,amb,Ambulance arrivals,f,77,0.1879974818685915
aae,amb,Ambulance arrivals,f,78,0.19502698448586225
aae,amb,Ambulance arrivals,f,79,0.21046896311690869
aae,amb,Ambulance arrivals,f,80,0.28116805242349646
aae,amb,Ambulance arrivals,f,81,0.25764351941047514
aae,amb,Ambulance arrivals,f,82,0.30112784976719575
aae,amb,Ambulance arrivals,f,83,0.34841248975820427
aae,amb,Ambulance arrivals,f,84,0.3575618134985086
aae,amb,Ambulance arrivals,f,85,0.41664385769635476
aae,amb,Ambulance arrivals,f,86,0.3769054665252108
aae,amb,Ambulance arrivals,f,87,0.47735131963954514
aae,amb,Ambulance arrivals,f,88,0.5298899491305649
aae,amb,Ambulance arrivals,f,89,0.5309271283821678
aae,amb,Ambulance arrivals,f,90,0.7670286471448199
aae,amb,Ambulance arrivals,m,17,0.02965367473279568
aae,amb,Ambulance arrivals,m,18,0.042645274649262176
aae,amb,Ambulance arrivals,m,19,0.02185711002928262
aae,amb,Ambulance arrivals,m,20,0.021340374107322643
aae,amb,Ambulance arrivals,m,21,0.020968446980532934
aae,amb,Ambulance arrivals,m,22,0.018009839013737816
aae,amb,Ambulance arrivals,m,23,0.02602844598715389
aae,amb,Ambulance arrivals,m,24,0.017398968539433644
aae,amb,Ambulance arrivals,m,25,0.02374652283058552
aae,amb,Ambulance arrivals,m,26,0.023231076704087476
aae,amb,Ambulance arrivals,m,27,0.020360108770329923
aae,amb,Ambulance arrivals,m,28,0.025699722995415602
aae,amb,Ambulance arrivals,m,29,0.029503398791540784
aae,amb,Ambulance arrivals,m,30,0.025194282272157798
aae,amb,Ambulance arrivals,m,31,0.021499682879677524
aae,amb,Ambulance arrivals,m,32,0.028883001585120333
aae,amb,Ambulance arrivals,m,33,0.02848357628613819
aae,amb,Ambulance arrivals,m,34,0.033168175919180615
aae,amb,Ambulance arrivals,m,35,0.02731065638498167
aae,amb,Ambulance arrivals,m,36,0.03574189898058034
aae,amb,Ambulance arrivals,m,37,0.0438280732460508
aae,amb,Ambulance arrivals,m,38,0.034694303157295964
aae,amb,Ambulance arrivals,m,39,0.046516277636891486
aae,amb,Ambulance arrivals,m,40,0.04736599836113646
aae,amb,Ambulance arrivals,m,41,0.043377277521808894
aae,amb,Ambulance arrivals,m,42,0.054361549900395614
aae,amb,Ambulance arrivals,m,43,0.05516512389686435
aae,amb,Ambulance arrivals,m,44,0.04714500539980423
aae,amb,Ambulance arrivals,m,45,0.0502421406748207
