pod,hsagrp,hsagrp_lab,sex,age,urt
aae,walkin,Walk-in arrivals,f,17,0.15909761676381612
aae,walkin,Walk-in arrivals,f,18,0.19098164565868564
aae,walkin,Walk-in arrivals,f,19,0.3595139371569638
aae,walkin,Walk-in arrivals,f,20,0.44914033444522955
aae,walkin,Walk-in arrivals,f,21,0.40291441426317026
aae,walkin,Walk-in arrivals,f,22,0.2675119555856863
aae,walkin,Walk-in arrivals,f,23,0.17656789190327796
aae,walkin,Walk-in arrivals,f,24,0.24606452497087716
aae,walkin,Walk-in arrivals,f,25,0.3023164624783365
aae,walkin,Walk-in arrivals,f,26,0.2500800561155248
aae,walkin,Walk-in arrivals,f,27,0.20144456187267534
aae,walkin,Walk-in arrivals,f,28,0.18484849320888708
aae,walkin,Walk-in arrivals,f,29,0.16805260046394518
aae,walkin,Walk-in arrivals,f,30,0.1485872480859616
aae,walkin,Walk-in arrivals,f,31,0.175716510696077
aae,walkin,Walk-in arrivals,f,32,0.17029169657687493
aae,walkin,Walk-in arrivals,f,33,0.11863396938716328
aae,walkin,Walk-in arrivals,f,34,0.1832158570706925
aae,walkin,Walk-in arrivals,f,35,0.1393166153394926
aae,walkin,Walk-in arrivals,f,36,0.18818121600192697
aae,walkin,Walk-in arrivals,f,37,0.15082918965163403
aae,walkin,Walk-in arrivals,f,38,0.14066172389893838
aae,walkin,Walk-in arrivals,f,39,0.10061754015268712
aae,walkin,Walk-in arrivals,f,40,0.09528131809166564
aae,walkin,Walk-in arrivals,f,41,0.09428136387420982
aae,walkin,Walk-in arrivals,f,42,0.07601297562037887
aae,walkin,Walk-in arrivals,f,43,0.1173440842865794
aae,walkin,Walk-in arrivals,f,44,0.08776285552617295
aae,walkin,Walk-in arrivals,f,45,0.11826544021024966
aae,walkin,Walk-in arrivals,f,46,0.06103342669994442
aae,walkin,Walk-in arrivals,f,47,0.07222481314409056
aae,walkin,Walk-in arrivals,f,48,0.11006240731586751
aae,walkin,Walk-in arrivals,f,49,0.09209925556367683
aae,walkin,Walk-in arrivals,f,50,0.07783009689847065
aae,walkin,Walk-in arrivals,f,51,0.09171089265845651
aae,walkin,Walk-in arrivals,f,52,0.10531929298991442
aae,walkin,Walk-in arrivals,f,53,0.07696619343612225
aae,walkin,Walk-in arrivals,f,54,0.08916046506098577
aae,walkin,Walk-in arrivals,f,55,0.0737569737218654
aae,walkin,Walk-in arrivals,f,56,0.07796895134595674
aae,walkin,Walk-in arrivals,f,57,0.07108557833195515
aae,walkin,Walk-in arrivals,f,58,0.09639552667206673
aae,walkin,Walk-in arrivals,f,59,0.07291738322900186
aae,walkin,Walk-in arrivals,f,60,0.07567086955287974
aae,walkin,Walk-in arrivals,f,61,0.05514669019592115
aae,walkin,Walk-in arrivals,f,62,0.06503600774087116
aae,walkin,Walk-in arrivals,f,63,0.061170521455168284
aae,walkin,Walk-in arrivals,f,64,0.11281333904920918
aae,walkin,Walk-in arrivals,f,65,0.07570234496242037
aae,walkin,Walk-in arrivals,f,66,0.06538185584677246
aae,walkin,Walk-in arrivals,f,67,0.08002793702528883
aae,walkin,Walk-in arrivals,f,68,0.06984410795105324
aae,walkin,Walk-in arrivals,f,69,0.09683529137575049
aae,walkin,Walk-in arrivals,f,70,0.08313140067566373
aae,walkin,Walk-in arrivals,f,71,0.06734902162594354
aae,walkin,Walk-in arrivals,f,72,0.07766950948327826
aae,walkin,Walk-in arrivals,f,73,0.08251666108465724
aae,walkin,Walk-in arrivals,f,74,0.09568679603305248
aae,walkin,Walk-in arrivals,f,75,0.108600233490502
aae,walkin,Walk-in arrivals,f,76,0.06819899360404033
aae,walkin,Walk-in arrivals,f,77,0.0658741803155972
aae,walkin,Walk-in arrivals,f,78,0.12841605312330173
aae,walkin,Walk-in arrivals,f,79,0.11582932662280292
aae,walkin,Walk-in arrivals,f,80,0.11345815411147137
aae,walkin,Walk-in arrivals,f,81,0.10860817234724539
aae,walkin,Walk-in arrivals,f,82,0.09543672124337207
aae,walkin,Walk-in arrivals,f,83,0.1201462351319034
aae,walkin,Walk-in arrivals,f,84,0.11240255913285982
aae,walkin,Walk-in arrivals,f,85,0.11073583965450416
aae,walkin,Walk-in arrivals,f,86,0.08299923135494441
aae,walkin,Walk-in arrivals,f,87,0.07857116272914866
aae,walkin,Walk-in arrivals,f,88,0.06866842763034413
aae,walkin,Walk-in arrivals,f,89,0.10864734060941281
aae,walkin,Walk-in arrivals,f,90,0.05612864244624032
aae,walkin,Walk-in arrivals,m,17,0.1360226963584781
aae,walkin,Walk-in arrivals,m,18,0.16377669048252705
aae,walkin,Walk-in arrivals,m,19,0.21234825113185624
aae,walkin,Walk-in arrivals,m,20,0.2681610717686591
aae,walkin,Walk-in arrivals,m,21,0.22548626112210984
aae,walkin,Walk-in arrivals,m,22,0.2038003585504613
aae,walkin,Walk-in arrivals,m,23,0.1715491810058296
aae,walkin,Walk-in arrivals,m,24,0.21890811955154318
aae,walkin,Walk-in arrivals,m,25,0.1907453576341128
aae,walkin,Walk-in arrivals,m,26,0.1593638411547666
aae,walkin,Walk-in arrivals,m,27,0.18520617317053617
aae,walkin,Walk-in arrivals,m,28,0.1150066900233099
aae,walkin,Walk-in arrivals,m,29,0.10361927318481239
aae,walkin,Walk-in arrivals,m,30,0.13769060627810573
aae,walkin,Walk-in arrivals,m,31,0.14655474226720186
aae,walkin,Walk-in arrivals,m,32,0.2084156620309971
aae,walkin,Walk-in arrivals,m,33,0.13713086458029014
aae,walkin,Walk-in arrivals,m,34,0.17088693073291195
aae,walkin,Walk-in arrivals,m,35,0.1710196672617351
aae,walkin,Walk-in arrivals,m,36,0.09239346873755476
aae,walkin,Walk-in arrivals,m,37,0.15819262002132672
aae,walkin,Walk-in arrivals,m,38,0.10258237634774345
aae,walkin,Walk-in arrivals,m,39,0.14681817486656368
aae,walkin,Walk-in arrivals,m,40,0.10553588483924248
aae,walkin,Walk-in arrivals,m,41,0.13621641256419828
aae,walkin,Walk-in arrivals,m,42,0.09555433458350254
aae,walkin,Walk-in arrivals,m,43,0.12655315232397607
aae,walkin,Walk-in arrivals,m,44,0.09360359812231182
aae,walkin,Walk-in arrivals,m,45,0.10619415325333377
aae,walkin,Walk-in arrivals,m,46,0.11863803535413453
aae,walkin,Walk-in arrivals,m,47,0.0750387700311828
aae,walkin,Walk-in arrivals,m,48,0.07306364729299186
aae,walkin,Walk-in arrivals,m,49,0.07020514355919429
aae,walkin,Walk-in arrivals,m,50,0.08389100461225753
aae,walkin,Walk-in arrivals,m,51,0.09936574340733556
aae,walkin,Walk-in arrivals,m,52,0.10698582955431775
aae,walkin,Walk-in arrivals,m,53,0.0958873062640562
aae,walkin,Walk-in arrivals,m,54,0.08629831668494974
aae,walkin,Walk-in arrivals,m,55,0.09080120112466049
aae,walkin,Walk-in arrivals,m,56,0.09852659276206263
aae,walkin,Walk-in arrivals,m,57,0.07647576159563736
aae,walkin,Walk-in arrivals,m,58,0.08066630366830016
aae,walkin,Walk-in arrivals,m,59,0.061730160904934044
aae,walkin,Walk-in arrivals,m,60,0.07180194152449881
aae,walkin,Walk-in arrivals,m,61,0.10961571631452617
aae,walkin,Walk-in arrivals,m,62,0.102053077476392
aae,walkin,Walk-in arrivals,m,63,0.07345299399091997
aae,walkin,Walk-in arrivals,m,64,0.098329820421200545
aae,walkin,Walk-in arrivals,m,65,0.07075702762426929
aae,walkin,Walk-in arrivals,m,66,0.06975075119723494
aae,walkin,Walk-in arrivals,m,67,0.09097035665949425
aae,walkin,Walk-in arrivals,m,68,0.09997200783780541
aae,walkin,Walk-in arrivals,m,69,0.08635003786808954
aae,walkin,Walk-in arrivals,m,70,0.08741099557481835
aae,walkin,Walk-in arrivals,m,71,0.08586555405724501
aae,walkin,Walk-in arrivals,m,72,0.10569844419307582
aae,walkin,Walk-in arrivals,m,73,0.08689244219563833
aae,walkin,Walk-in arrivals,m,74,0.10027440169606988
aae,walkin,Walk-in arrivals,m,75,0.09447696930272899
aae,walkin,Walk-in arrivals,m,76,0.07814427901620466
aae,walkin,Walk-in arrivals,m,77,0.12151097796453647
aae,walkin,Walk-in arrivals,m,78,0.07755925118584013
aae,walkin,Walk-in arrivals,m,79,0.11062871528102151
aae,walkin,Walk-in arrivals,m,80,0.11346664344558614
aae,walkin,Walk-in arrivals,m,81,0.1278251076149217
aae,walkin,Walk-in arrivals,m,82,0.10931077991679888
aae,walkin,Walk-in arrivals,m,83,0.14146363420076263
aae,walkin,Walk-in arrivals,m,84,0.1303471066776056
aae,walkin,Walk-in arrivals,m,85,0.1732871771518842
aae,walkin,Walk-in arrivals,m,86,0.12280080292832685
aae,walkin,Walk-in arrivals,m,87,0.12764690030777087
aae,walkin,Walk-in arrivals,m,88,0.10545905707196031
aae,walkin,Walk-in arrivals,m,89,0.1821885817447041
aae,walkin,Walk-in arrivals,m,90,0.1252695532350862
aae,amb,Ambulance arrivals,f,17,0.03919796355050542
aae,amb,Ambulance arrivals,f,18,0.05277124419516314
aae,amb,Ambulance arrivals,f,19,0.052728710783021354
aae,amb,Ambulance arrivals,f,20,0.08763713842833747
aae,amb,Ambulance arrivals,f,21,0.09113540322619328
aae,amb,Ambulance arrivals,f,22,0.0476391153782729
aae,amb,Ambulance arrivals,f,23,0.05885596396775932
aae,amb,Ambulance arrivals,f,24,0.06852429809315566
aae,amb,Ambulance arrivals,f,25,0.059864646035314155
aae,amb,Ambulance arrivals,f,26,0.07624391954741609
aae,amb,Ambulance arrivals,f,27,0.026275377635566352
aae,amb,Ambulance arrivals,f,28,0.05241972195475902
aae,amb,Ambulance arrivals,f,29,0.07202254305597651
aae,amb,Ambulance arrivals,f,30,0.04692228886925103
aae,amb,Ambulance arrivals,f,31,0.053247427483659696
aae,amb,Ambulance arrivals,f,32,0.02095897804023076
aae,amb,Ambulance arrivals,f,33,0.044817277324039465
aae,amb,Ambulance arrivals,f,34,0.026173693867241783
aae,amb,Ambulance arrivals,f,35,0.03421811604829643
aae,amb,Ambulance arrivals,f,36,0.02007266304020554
aae,amb,Ambulance arrivals,f,37,0.08654133832470805
aae,amb,Ambulance arrivals,f,38,0.028132344779787676
aae,amb,Ambulance arrivals,f,39,0.016769590025447853
aae,amb,Ambulance arrivals,f,40,0.030088837292104938
aae,amb,Ambulance arrivals,f,41,0.028284409162262946
aae,amb,Ambulance arrivals,f,42,0.02670726170445744
aae,amb,Ambulance arrivals,f,43,0.033526881224736974
aae,amb,Ambulance arrivals,f,44,0.03695278127417809
aae,amb,Ambulance arrivals,f,45,0.02190100744634253
aae,amb,Ambulance arrivals,f,46,0.017438121914269834
aae,amb,Ambulance arrivals,f,47,0.03714418961696086
aae,amb,Ambulance arrivals,f,48,0.03475654967869501
aae,amb,Ambulance arrivals,f,49,0.03135293806423041
aae,amb,Ambulance arrivals,f,50,0.027071338051641962
aae,amb,Ambulance arrivals,f,51,0.041529460826470875
