pod,hsagrp,hsagrp_lab,sex,age,urt
aae,walkin,Walk-in arrivals,f,17,0.1560093835902307
aae,walkin,Walk-in arrivals,f,18,0.1653091686623517
aae,walkin,Walk-in arrivals,f,19,0.14699887534890294
aae,walkin,Walk-in arrivals,f,20,0.15982765851679132
aae,walkin,Walk-in arrivals,f,21,0.19266923009611095
aae,walkin,Walk-in arrivals,f,22,0.23819681716363572
aae,walkin,Walk-in arrivals,f,23,0.23360532283640864
aae,walkin,Walk-in arrivals,f,24,0.19962462458112148
aae,walkin,Walk-in arrivals,f,25,0.2125611046332706
aae,walkin,Walk-in arrivals,f,26,0.1956049938265408
aae,walkin,Walk-in arrivals,f,27,0.18355617169438623
aae,walkin,Walk-in arrivals,f,28,0.19028513341905726
aae,walkin,Walk-in arrivals,f,29,0.1640209511321706
aae,walkin,Walk-in arrivals,f,30,0.1604332097746941
aae,walkin,Walk-in arrivals,f,31,0.16636344123768457
aae,walkin,Walk-in arrivals,f,32,0.1742563953858641
aae,walkin,Walk-in arrivals,f,33,0.17333893365514125
aae,walkin,Walk-in arrivals,f,34,0.14112603216614425
aae,walkin,Walk-in arrivals,f,35,0.1525569360250656
aae,walkin,Walk-in arrivals,f,36,0.16270875317728056
aae,walkin,Walk-in arrivals,f,37,0.16083698252752363
aae,walkin,Walk-in arrivals,f,38,0.1564260113523525
aae,walkin,Walk-in arrivals,f,39,0.15988325303402617
aae,walkin,Walk-in arrivals,f,40,0.16421800566355343
aae,walkin,Walk-in arrivals,f,41,0.1540040872074828
aae,walkin,Walk-in arrivals,f,42,0.15674366068066856
aae,walkin,Walk-in arrivals,f,43,0.12002350388327845
aae,walkin,Walk-in arrivals,f,44,0.13269442759613734
aae,walkin,Walk-in arrivals,f,45,0.1372873309047097
aae,walkin,Walk-in arrivals,f,46,0.14826534837591196
aae,walkin,Walk-in arrivals,f,47,0.13866865044406596
aae,walkin,Walk-in arrivals,f,48,0.14217826196742867
aae,walkin,Walk-in arrivals,f,49,0.1364129189530102
aae,walkin,Walk-in arrivals,f,50,0.13551764059495308
aae,walkin,Walk-in arrivals,f,51,0.16365846815673807
aae,walkin,Walk-in arrivals,f,52,0.13415291080698508
aae,walkin,Walk-in arrivals,f,53,0.1622659110551969
aae,walkin,Walk-in arrivals,f,54,0.1730310478514105
aae,walkin,Walk-in arrivals,f,55,0.15904716946875339
aae,walkin,Walk-in arrivals,f,56,0.1752670221092546
aae,walkin,Walk-in arrivals,f,57,0.18078853934577982
aae,walkin,Walk-in arrivals,f,58,0.1557636209577913
aae,walkin,Walk-in arrivals,f,59,0.17582819475434164
aae,walkin,Walk-in arrivals,f,60,0.16051589060655408
aae,walkin,Walk-in arrivals,f,61,0.16834001179353145
aae,walkin,Walk-in arrivals,f,62,0.1591998231563748
aae,walkin,Walk-in arrivals,f,63,0.15310951506040868
aae,walkin,Walk-in arrivals,f,64,0.14726606463152847
aae,walkin,Walk-in arrivals,f,65,0.20465345157243983
aae,walkin,Walk-in arrivals,f,66,0.21010489082626635
