Variante,mw,Simulationsjahr,Bev,Bev_0_1,Bev_1_2,Bev_2_3,Bev_3_4,Bev_4_5,Bev_5_6,Bev_6_7,Bev_7_8,Bev_8_9,Bev_9_10,Bev_10_11,Bev_11_12,Bev_12_13,Bev_13_14,Bev_14_15,Bev_15_16,Bev_16_17,Bev_17_18,Bev_18_19,Bev_19_20,Bev_20_21,Bev_21_22,Bev_22_23,Bev_23_24,Bev_24_25,Bev_25_26,Bev_26_27,Bev_27_28,Bev_28_29,Bev_29_30,Bev_30_31,Bev_31_32,Bev_32_33,Bev_33_34,Bev_34_35,Bev_35_36,Bev_36_37,Bev_37_38,Bev_38_39,Bev_39_40,Bev_40_41,Bev_41_42,Bev_42_43,Bev_43_44,Bev_44_45,Bev_45_46,Bev_46_47,Bev_47_48,Bev_48_49,Bev_49_50,Bev_50_51,Bev_51_52,Bev_52_53,Bev_53_54,Bev_54_55,Bev_55_56,Bev_56_57,Bev_57_58,Bev_58_59,Bev_59_60,Bev_60_61,Bev_61_62,Bev_62_63,Bev_63_64,Bev_64_65,Bev_65_66,Bev_66_67,Bev_67_68,Bev_68_69,Bev_69_70,Bev_70_71,Bev_71_72,Bev_72_73,Bev_73_74,Bev_74_75,Bev_75_76,Bev_76_77,Bev_77_78,Bev_78_79,Bev_79_80,Bev_80_81,Bev_81_82,Bev_82_83,Bev_83_84,Bev_84_85,Bev_85_86,Bev_86_87,Bev_87_88,Bev_88_89,Bev_89_90,Bev_90_91,Bev_91_92,Bev_92_93,Bev_93_94,Bev_94_95,Bev_95_96,Bev_96_97,Bev_97_98,Bev_98_99,Bev_99_100,Bev_100_101
0,m,2010,38026,276,320,343,350,385,411,399,405,425,397,440,433,407,459,467,447,383,428,451,278,287,313,356,393,383,343,349,379,360,331,364,305,264,297,332,266,321,330,356,378,377,338,379,429,392,431,522,550,535,524,556,574,640,628,605,636,595,596,581,614,609,526,521,520,541,556,552,517,550,615,658,677,510,483,536,445,433,327,364,364,308,316,282,290,236,194,213,154,158,88,91.909,75.241,58.918,44.122,32.594,23.503,16.733,11.703,7.682,3.074,4.519
0,w,2010,40087,289,331,302,366,355,356,450,371,389,451,406,388,419,418,421,415,452,420,425,276,221,282,319,366,371,306,371,334,344,332,326,370,337,337,315,429,335,362,438,421,385,418,419,444,479,462,536,530,554,547,645,627,659,635,648,705,596,565,601,601,544,584,563,536,558,598,561,574,589,620,627,688,568,529,576,477,436,392,387,381,371,359,332,297,270,276,241,238,202,210,168.715,144.188,121.815,99.972,80.862,63.964,49.502,38.132,28.209,12.734,22.909
0,m,2011,38026,276,320,343,350,385,411,399,405,425,397,440,433,407,459,467,447,383,428,451,278,287,313,356,393,383,343,349,379,360,331,364,305,264,297,332,266,321,330,356,378,377,338,379,429,392,431,522,550,535,524,556,574,640,628,605,636,595,596,581,614,609,526,521,520,541,556,552,517,550,615,658,677,510,483,536,445,433,327,364,364,308,316,282,290,236,194,213,154,158,88,91.909,75.241,58.918,44.122,32.594,23.503,16.733,11.703,7.682,3.074,4.519
0,w,2011,40087,289,331,302,366,355,356,450,371,389,451,406,388,419,418,421,415,452,420,425,276,221,282,319,366,371,306,371,334,344,332,326,370,337,337,315,429,335,362,438,421,385,418,419,444,479,462,536,530,554,547,645,627,659,635,648,705,596,565,601,601,544,584,563,536,558,598,561,574,589,620,627,688,568,529,576,477,436,392,387,381,371,359,332,297,270,276,241,238,202,210,168.715,144.188,121.815,99.972,80.862,63.964,49.502,38.132,28.209,12.734,22.909
0,m,2012,38026,276,320,343,350,385,411,399,405,425,397,440,433,407,459,467,447,383,428,451,278,287,313,356,393,383,343,349,379,360,331,364,305,264,297,332,266,321,330,356,378,377,338,379,429,392,431,522,550,535,524,556,574,640,628,605,636,595,596,581,614,609,526,521,520,541,556,552,517,550,615,658,677,510,483,536,445,433,327,364,364,308,316,282,290,236,194,213,154,158,88,91.909,75.241,58.918,44.122,32.594,23.503,16.733,11.703,7.682,3.074,4.519
0,w,2012,40087,289,331,302,366,355,356,450,371,389,451,406,388,419,418,421,415,452,420,425,276,221,282,319,366,371,306,371,334,344,332,326,370,337,337,315,429,335,362,438,421,385,418,419,444,479,462,536,530,554,547,645,627,659,635,648,705,596,565,601,601,544,584,563,536,558,598,561,574,589,620,627,688,568,529,576,477,436,392,387,381,371,359,332,297,270,276,241,238,202,210,168.715,144.188,121.815,99.972,80.862,63.964,49.502,38.132,28.209,12.734,22.909
0,m,2013,38026,276,320,343,350,385,411,399,405,425,397,440,433,407,459,467,447,383,428,451,278,287,313,356,393,383,343,349,379,360,331,364,305,264,297,332,266,321,330,356,378,377,338,379,429,392,431,522,550,535,524,556,574,640,628,605,636,595,596,581,614,609,526,521,520,541,556,552,517,550,615,658,677,510,483,536,445,433,327,364,364,308,316,282,290,236,194,213,154,158,88,91.909,75.241,58.918,44.122,32.594,23.503,16.733,11.703,7.682,3.074,4.519
0,w,2013,40087,289,331,302,366,355,356,450,371,389,451,406,388,419,418,421,415,452,420,425,276,221,282,319,366,371,306,371,334,344,332,326,370,337,337,315,429,335,362,438,421,385,418,419,444,479,462,536,530,554,547,645,627,659,635,648,705,596,565,601,601,544,584,563,536,558,598,561,574,589,620,627,688,568,529,576,477,436,392,387,381,371,359,332,297,270,276,241,238,202,210,168.715,144.188,121.815,99.972,80.862,63.964,49.502,38.132,28.209,12.734,22.909
0,m,2014,38026,276,320,343,350,385,411,399,405,425,397,440,433,407,459,467,447,383,428,451,278,287,313,356,393,383,343,349,379,360,331,364,305,264,297,332,266,321,330,356,378,377,338,379,429,392,431,522,550,535,524,556,574,640,628,605,636,595,596,581,614,609,526,521,520,541,556,552,517,550,615,658,677,510,483,536,445,433,327,364,364,308,316,282,290,236,194,213,154,158,88,91.909,75.241,58.918,44.122,32.594,23.503,16.733,11.703,7.682,3.074,4.519
0,w,2014,40087,289,331,302,366,355,356,450,371,389,451,406,388,419,418,421,415,452,420,425,276,221,282,319,366,371,306,371,334,344,332,326,370,337,337,315,429,335,362,438,421,385,418,419,444,479,462,536,530,554,547,645,627,659,635,648,705,596,565,601,601,544,584,563,536,558,598,561,574,589,620,627,688,568,529,576,477,436,392,387,381,371,359,332,297,270,276,241,238,202,210,168.715,144.188,121.815,99.972,80.862,63.964,49.502,38.132,28.209,12.734,22.909
