Variante,mw,Simulationsjahr,Bev,Bev_0_1,Bev_1_2,Bev_2_3,Bev_3_4,Bev_4_5,Bev_5_6,Bev_6_7,Bev_7_8,Bev_8_9,Bev_9_10,Bev_10_11,Bev_11_12,Bev_12_13,Bev_13_14,Bev_14_15,Bev_15_16,Bev_16_17,Bev_17_18,Bev_18_19,Bev_19_20,Bev_20_21,Bev_21_22,Bev_22_23,Bev_23_24,Bev_24_25,Bev_25_26,Bev_26_27,Bev_27_28,Bev_28_29,Bev_29_30,Bev_30_31,Bev_31_32,Bev_32_33,Bev_33_34,Bev_34_35,Bev_35_36,Bev_36_37,Bev_37_38,Bev_38_39,Bev_39_40,Bev_40_41,Bev_41_42,Bev_42_43,Bev_43_44,Bev_44_45,Bev_45_46,Bev_46_47,Bev_47_48,Bev_48_49,Bev_49_50,Bev_50_51,Bev_51_52,Bev_52_53,Bev_53_54,Bev_54_55,Bev_55_56,Bev_56_57,Bev_57_58,Bev_58_59,Bev_59_60,Bev_60_61,Bev_61_62,Bev_62_63,Bev_63_64,Bev_64_65,Bev_65_66,Bev_66_67,Bev_67_68,Bev_68_69,Bev_69_70,Bev_70_71,Bev_71_72,Bev_72_73,Bev_73_74,Bev_74_75,Bev_75_76,Bev_76_77,Bev_77_78,Bev_78_79,Bev_79_80,Bev_80_81,Bev_81_82,Bev_82_83,Bev_83_84,Bev_84_85,Bev_85_86,Bev_86_87,Bev_87_88,Bev_88_89,Bev_89_90,Bev_90_91,Bev_91_92,Bev_92_93,Bev_93_94,Bev_94_95,Bev_95_96,Bev_96_97,Bev_97_98,Bev_98_99,Bev_99_100,Bev_100_101
0,m,2010,165849,2337,2352,2223,2297,2102,2253,2362,2126,2098,1939,1905,1917,1866,1751,1715,1681,1640,1672,1658,1935,2237,2495,2691,2857,3390,3450,3961,4269,4330,4557,4909,4872,4794,4724,4289,4080,3851,3518,3428,3020,2894,2682,2501,2458,2254,2153,1986,2122,1888,1755,1760,1687,1546,1424,1422,1341,1260,1241,1114,1083,1066,996,891,879,780,778,705,609,512,515,523,556,427,394,330,324,334,295,312,285,297,258,243,207,186,196,165,148,128,92,73.527,60.193,47.135,35.298,26.075,18.802,13.387,9.363,6.146,2.459,3.615
0,w,2010,151856,2192,2200,2278,2064,2163,2324,2241,1978,1887,1854,1860,1855,1818,1636,1667,1674,1569,1477,1501,1934,2370,2639,2669,3069,3256,3776,3826,4389,4066,4433,4620,4369,3968,3638,3501,3259,3192,2949,2657,2504,2407,2307,1974,1877,1768,1693,1618,1478,1434,1457,1347,1357,1215,1181,1218,1115,1059,1006,980,933,919,864,864,829,818,766,821,649,736,648,532,524,480,442,415,370,365,423,396,357,307,306,294,271,252,210,214,183,187,123,110.649,94.564,79.89,65.565,53.032,41.95,32.465,25.009,18.5,8.352,15.024
0,m,2011,165849,2337,2352,2223,2297,2102,2253,2362,2126,2098,1939,1905,1917,1866,1751,1715,1681,1640,1672,1658,1935,2237,2495,2691,2857,3390,3450,3961,4269,4330,4557,4909,4872,4794,4724,4289,4080,3851,3518,3428,3020,2894,2682,2501,2458,2254,2153,1986,2122,1888,1755,1760,1687,1546,1424,1422,1341,1260,1241,1114,1083,1066,996,891,879,780,778,705,609,512,515,523,556,427,394,330,324,334,295,312,285,297,258,243,207,186,196,165,148,128,92,73.527,60.193,47.135,35.298,26.075,18.802,13.387,9.363,6.146,2.459,3.615
0,w,2011,151856,2192,2200,2278,2064,2163,2324,2241,1978,1887,1854,1860,1855,1818,1636,1667,1674,1569,1477,1501,1934,2370,2639,2669,3069,3256,3776,3826,4389,4066,4433,4620,4369,3968,3638,3501,3259,3192,2949,2657,2504,2407,2307,1974,1877,1768,1693,1618,1478,1434,1457,1347,1357,1215,1181,1218,1115,1059,1006,980,933,919,864,864,829,818,766,821,649,736,648,532,524,480,442,415,370,365,423,396,357,307,306,294,271,252,210,214,183,187,123,110.649,94.564,79.89,65.565,53.032,41.95,32.465,25.009,18.5,8.352,15.024
0,m,2012,165849,2337,2352,2223,2297,2102,2253,2362,2126,2098,1939,1905,1917,1866,1751,1715,1681,1640,1672,1658,1935,2237,2495,2691,2857,3390,3450,3961,4269,4330,4557,4909,4872,4794,4724,4289,4080,3851,3518,3428,3020,2894,2682,2501,2458,2254,2153,1986,2122,1888,1755,1760,1687,1546,1424,1422,1341,1260,1241,1114,1083,1066,996,891,879,780,778,705,609,512,515,523,556,427,394,330,324,334,295,312,285,297,258,243,207,186,196,165,148,128,92,73.527,60.193,47.135,35.298,26.075,18.802,13.387,9.363,6.146,2.459,3.615
0,w,2012,151856,2192,2200,2278,2064,2163,2324,2241,1978,1887,1854,1860,1855,1818,1636,1667,1674,1569,1477,1501,1934,2370,2639,2669,3069,3256,3776,3826,4389,4066,4433,4620,4369,3968,3638,3501,3259,3192,2949,2657,2504,2407,2307,1974,1877,1768,1693,1618,1478,1434,1457,1347,1357,1215,1181,1218,1115,1059,1006,980,933,919,864,864,829,818,766,821,649,736,648,532,524,480,442,415,370,365,423,396,357,307,306,294,271,252,210,214,183,187,123,110.649,94.564,79.89,65.565,53.032,41.95,32.465,25.009,18.5,8.352,15.024
0,m,2013,165849,2337,2352,2223,2297,2102,2253,2362,2126,2098,1939,1905,1917,1866,1751,1715,1681,1640,1672,1658,1935,2237,2495,2691,2857,3390,3450,3961,4269,4330,4557,4909,4872,4794,4724,4289,4080,3851,3518,3428,3020,2894,2682,2501,2458,2254,2153,1986,2122,1888,1755,1760,1687,1546,1424,1422,1341,1260,1241,1114,1083,1066,996,891,879,780,778,705,609,512,515,523,556,427,394,330,324,334,295,312,285,297,258,243,207,186,196,165,148,128,92,73.527,60.193,47.135,35.298,26.075,18.802,13.387,9.363,6.146,2.459,3.615
0,w,2013,151856,2192,2200,2278,2064,2163,2324,2241,1978,1887,1854,1860,1855,1818,1636,1667,1674,1569,1477,1501,1934,2370,2639,2669,3069,3256,3776,3826,4389,4066,4433,4620,4369,3968,3638,3501,3259,3192,2949,2657,2504,2407,2307,1974,1877,1768,1693,1618,1478,1434,1457,1347,1357,1215,1181,1218,1115,1059,1006,980,933,919,864,864,829,818,766,821,649,736,648,532,524,480,442,415,370,365,423,396,357,307,306,294,271,252,210,214,183,187,123,110.649,94.564,79.89,65.565,53.032,41.95,32.465,25.009,18.5,8.352,15.024
0,m,2014,165849,2337,2352,2223,2297,2102,2253,2362,2126,2098,1939,1905,1917,1866,1751,1715,1681,1640,1672,1658,1935,2237,2495,2691,2857,3390,3450,3961,4269,4330,4557,4909,4872,4794,4724,4289,4080,3851,3518,3428,3020,2894,2682,2501,2458,2254,2153,1986,2122,1888,1755,1760,1687,1546,1424,1422,1341,1260,1241,1114,1083,1066,996,891,879,780,778,705,609,512,515,523,556,427,394,330,324,334,295,312,285,297,258,243,207,186,196,165,148,128,92,73.527,60.193,47.135,35.298,26.075,18.802,13.387,9.363,6.146,2.459,3.615
0,w,2014,151856,2192,2200,2278,2064,2163,2324,2241,1978,1887,1854,1860,1855,1818,1636,1667,1674,1569,1477,1501,1934,2370,2639,2669,3069,3256,3776,3826,4389,4066,4433,4620,4369,3968,3638,3501,3259,3192,2949,2657,2504,2407,2307,1974,1877,1768,1693,1618,1478,1434,1457,1347,1357,1215,1181,1218,1115,1059,1006,980,933,919,864,864,829,818,766,821,649,736,648,532,524,480,442,415,370,365,423,396,357,307,306,294,271,252,210,214,183,187,123,110.649,94.564,79.89,65.565,53.032,41.95,32.465,25.009,18.5,8.352,15.024
0,m,2015,165849,2337,2352,2223,2297,2102,2253,2362,2126,2098,1939,1905,1917,1866,1751,1715,1681,1640,1672,1658,1935,2237,2495,2691,2857,3390,3450,3961,4269,4330,4557,4909,4872,4794,4724,4289,4080,3851,3518,3428,3020,2894,2682,2501,2458,2254,2153,1986,2122,1888,1755,1760,1687,1546,1424,1422,1341,1260,1241,1114,1083,1066,996,891,879,780,778,705,609,512,515,523,556,427,394,330,324,334,295,312,285,297,258,243,207,186,196,165,148,128,92,73.527,60.193,47.135,35.298,26.075,18.802,13.387,9.363,6.146,2.459,3.615
0,w,2015,151856,2192,2200,2278,2064,2163,2324,2241,1978,1887,1854,1860,1855,1818,1636,1667,1674,1569,1477,1501,1934,2370,2639,2669,3069,3256,3776,3826,4389,4066,4433,4620,4369,3968,3638,3501,3259,3192,2949,2657,2504,2407,2307,1974,1877,1768,1693,1618,1478,1434,1457,1347,1357,1215,1181,1218,1115,1059,1006,980,933,919,864,864,829,818,766,821,649,736,648,532,524,480,442,415,370,365,423,396,357,307,306,294,271,252,210,214,183,187,123,110.649,94.564,79.89,65.565,53.032,41.95,32.465,25.009,18.5,8.352,15.024
0,m,2016,165849,2337,2352,2223,2297,2102,2253,2362,2126,2098,1939,1905,1917,1866,1751,1715,1681,1640,1672,1658,1935,2237,2495,2691,2857,3390,3450,3961,4269,4330,4557,4909,4872,4794,4724,4289,4080,3851,3518,3428,3020,2894,2682,2501,2458,2254,2153,1986,2122,1888,1755,1760,1687,1546,1424,1422,1341,1260,1241,1114,1083,1066,996,891,879,780,778,705,609,512,515,523,556,427,394,330,324,334,295,312,285,297,258,243,207,186,196,165,148,128,92,73.527,60.193,47.135,35.298,26.075,18.802,13.387,9.363,6.146,2.459,3.615
0,w,2016,151856,2192,2200,2278,2064,2163,2324,2241,1978,1887,1854,1860,1855,1818,1636,1667,1674,1569,1477,1501,1934,2370,2639,2669,3069,3256,3776,3826,4389,4066,4433,4620,4369,3968,3638,3501,3259,3192,2949,2657,2504,2407,2307,1974,1877,1768,1693,1618,1478,1434,1457,1347,1357,1215,1181,1218,1115,1059,1006,980,933,919,864,864,829,818,766,821,649,736,648,532,524,480,442,415,370,365,423,396,357,307,306,294,271,252,210,214,183,187,123,110.649,94.564,79.89,65.565,53.032,41.95,32.465,25.009,18.5,8.352,15.024
0,m,2017,165849,2337,2352,2223,2297,2102,2253,2362,2126,2098,1939,1905,1917,1866,1751,1715,1681,1640,1672,1658,1935,2237,2495,2691,2857,3390,3450,3961,4269,4330,4557,4909,4872,4794,4724,4289,4080,3851,3518,3428,3020,2894,2682,2501,2458,2254,2153,1986,2122,1888,1755,1760,1687,1546,1424,1422,1341,1260,1241,1114,1083,1066,996,891,879,780,778,705,609,512,515,523,556,427,394,330,324,334,295,312,285,297,258,243,207,186,196,165,148,128,92,73.527,60.193,47.135,35.298,26.075,18.802,13.387,9.363,6.146,2.459,3.615
0,w,2017,151856,2192,2200,2278,2064,2163,2324,2241,1978,1887,1854,1860,1855,1818,1636,1667,1674,1569,1477,1501,1934,2370,2639,2669,3069,3256,3776,3826,4389,4066,4433,4620,4369,3968,3638,3501,3259,3192,2949,2657,2504,2407,2307,1974,1877,1768,1693,1618,1478,1434,1457,1347,1357,1215,1181,1218,1115,1059,1006,980,933,919,864,864,829,818,766,821,649,736,648,532,524,480,442,415,370,365,423,396,357,307,306,294,271,252,210,214,183,187,123,110.649,94.564,79.89,65.565,53.032,41.95,32.465,25.009,18.5,8.352,15.024
1,m,2018,165849,2337,2352,2223,2297,2102,2253,2362,2126,2098,1939,1905,1917,1866,1751,1715,1681,1640,1672,1658,1935,2237,2495,2691,2857,3390,3450,3961,4269,4330,4557,4909,4872,4794,4724,4289,4080,3851,3518,3428,3020,2894,2682,2501,2458,2254,2153,1986,2122,1888,1755,1760,1687,1546,1424,1422,1341,1260,1241,1114,1083,1066,996,891,879,780,778,705,609,512,515,523,556,427,394,330,324,334,295,312,285,297,258,243,207,186,196,165,148,128,92,73.527,60.193,47.135,35.298,26.075,18.802,13.387,9.363,6.146,2.459,3.615
1,w,2018,151856,2192,2200,2278,2064,2163,2324,2241,1978,1887,1854,1860,1855,1818,1636,1667,1674,1569,1477,1501,1934,2370,2639,2669,3069,3256,3776,3826,4389,4066,4433,4620,4369,3968,3638,3501,3259,3192,2949,2657,2504,2407,2307,1974,1877,1768,1693,1618,1478,1434,1457,1347,1357,1215,1181,1218,1115,1059,1006,980,933,919,864,864,829,818,766,821,649,736,648,532,524,480,442,415,370,365,423,396,357,307,306,294,271,252,210,214,183,187,123,110.649,94.564,79.89,65.565,53.032,41.95,32.465,25.009,18.5,8.352,15.024
1,m,2019,170060.929,2238.387,2296.179,2316.337,2225.881,2280.599,2119.309,2271.312,2373.525,2134.531,2120.776,1975.435,1927.92,1935.774,1884.04,1782.227,1747.329,1715.009,1703.872,1779.62,2013.697,2274.297,2459.725,2746.72,3067.218,3300.533,3693.193,3772.241,4202.323,4477.931,4572.288,4517.463,4848.598,4811.152,4711.369,4633.399,4113.318,3886.497,3696.959,3455.981,3355.01,2962.949,2803.442,2638.133,2459.993,2420.686,2235.801,2143.27,1990.783,2113.7,1898.928,1752.955,1758.95,1688.073,1552.133,1443.487,1430.894,1338.802,1247.989,1235.179,1107.398,1068.658,1051.917,991.124,899.849,868.839,772.031,768.423,690.175,606.808,513.728,505.346,512.742,541.141,418.103,388.263,324.863,314.215,318.669,282.902,301.835,270.821,280.569,238.362,227.257,192.078,169.889,177.243,150.594,130.252,108.406,77.155,62.428,50.037,38.292,27.975,20.126,14.113,9.742,6.581,4.157,3.702
1,w,2019,155206.919,2148.903,2172.558,2196.159,2261.024,2074.928,2170.985,2334.819,2252.62,1992.883,1905.113,1877.84,1887.628,1872.535,1831.474,1650.68,1694.223,1691.155,1617.135,1586.648,1994.612,2351.71,2514.17,2843.5,3077.897,3441.014,3531.815,3990.365,4017.572,4440.04,4157.407,4195.193,4394.355,4173.336,3767.006,3530.642,3313.074,3102.198,3070.794,2866.412,2584.6,2463.827,2340.259,2287.525,1939.116,1867.671,1768.211,1680.952,1631.212,1494.595,1445.612,1456.998,1353.281,1363.572,1239.18,1193.676,1216.652,1123.44,1060.683,1019.766,988.933,931.12,925.644,864.337,864.884,839.373,816.084,766.512,809.837,655.319,732.925,643.261,522.566,518.013,473.762,437.383,407.875,369.914,351.514,418.696,387.697,339.486,294.441,291.077,278.653,257.687,235.658,195.113,190.103,164.136,167.728,112.456,93.613,78.533,65.024,52.217,41.266,31.828,23.936,17.853,12.747,14.466
1,m,2020,173894.734,2261.579,2199.933,2261.059,2308.908,2212.862,2286.24,2140.182,2283.696,2373.199,2155.84,2151.572,1994.475,1945.768,1951.129,1911.415,1811.892,1778.728,1776.253,1808.382,2113.343,2330.889,2488.598,2709.443,3110.542,3482.492,3601.901,3986.657,4024.104,4404.042,4700.442,4531.792,4495.24,4793.486,4708.388,4616.972,4420.671,3914.937,3729.189,3611.075,3381.998,3275.726,2872.099,2752.311,2587.157,2422.017,2391.903,2219.773,2135.971,1989.502,2112.745,1887.801,1750.806,1755.209,1687.618,1566.703,1450.649,1424.566,1321.821,1241.461,1223.368,1093.068,1056.776,1044.032,996.306,889.653,857.108,762.835,750.441,684.269,605.099,503.871,495.128,498.062,528.792,412.461,377.877,315,301.185,304.337,272.525,286.056,255.503,258.146,223.078,209.218,175.269,154.494,160.87,134.159,110.89,84.787,66.532,52.667,41.219,30.744,21.851,15.27,10.37,6.903,4.481,4.882
1,w,2020,158205.9,2170.523,2127.169,2164.983,2182.03,2259.13,2085.136,2184.021,2340.72,2259.549,2007.607,1926.124,1902.891,1904.501,1883.923,1840.569,1677.813,1710.013,1735.18,1716.451,2063.935,2377.663,2493.688,2741.954,3205.971,3447.457,3666.273,3767.032,4127.769,4124.241,4468.336,3968.072,4017.54,4190.033,3929.88,3639.996,3341.57,3143.271,2989.332,2973.424,2770.961,2539.623,2396.646,2318.58,2231.62,1926.317,1861.345,1750.489,1690.579,1640.206,1503.318,1445.001,1457.669,1359.692,1381.552,1248.952,1192.953,1221.531,1122.892,1072.755,1027.001,984.756,937.078,924.111,864.843,874.042,836.204,815.355,758.205,812.215,653.425,724.936,628.146,515.716,510.814,467.596,428.697,406.063,356.964,349.559,408.412,367.552,324.193,279.296,275.12,263.685,241.025,218.51,172.447,169.529,147.93,121.566,100.465,81.981,67.304,54.445,42.651,32.807,24.541,17.829,12.8,17.635
1,m,2021,177349.813,2255.493,2218.831,2166.836,2253.458,2286.671,2220.429,2298.932,2155.251,2284.367,2387.616,2185.007,2164.037,2008.269,1960.14,1975.982,1936.442,1841.119,1837.837,1878.483,2129.991,2407.428,2531.172,2732.01,3061.878,3515.903,3757.623,3893.302,4213.387,4235.206,4619.042,4642.804,4508.497,4473.215,4696.274,4597.75,4402.216,4188.743,3753.324,3639.349,3517.556,3301.389,3161.923,2820.562,2695.415,2539.723,2392.466,2366.773,2206.469,2123.655,1994.023,2089.355,1877.826,1746.601,1750.406,1697.086,1567.466,1445.089,1403.541,1311.398,1230.092,1203.1,1080.482,1051.279,1045.927,981.783,877.821,844.988,745.727,741.57,680.02,590.901,494.529,481.126,486.156,520.632,401.499,365.12,301.55,289.708,292.935,258.785,269.797,234.651,240.791,205.513,191.466,158.949,141.302,142.562,113.171,90.546,72.311,55.507,42.899,32.715,23.734,16.381,11.085,7.259,4.644,5.764
