Variante,mw,Simulationsjahr,Bev,Bev_0_1,Bev_1_2,Bev_2_3,Bev_3_4,Bev_4_5,Bev_5_6,Bev_6_7,Bev_7_8,Bev_8_9,Bev_9_10,Bev_10_11,Bev_11_12,Bev_12_13,Bev_13_14,Bev_14_15,Bev_15_16,Bev_16_17,Bev_17_18,Bev_18_19,Bev_19_20,Bev_20_21,Bev_21_22,Bev_22_23,Bev_23_24,Bev_24_25,Bev_25_26,Bev_26_27,Bev_27_28,Bev_28_29,Bev_29_30,Bev_30_31,Bev_31_32,Bev_32_33,Bev_33_34,Bev_34_35,Bev_35_36,Bev_36_37,Bev_37_38,Bev_38_39,Bev_39_40,Bev_40_41,Bev_41_42,Bev_42_43,Bev_43_44,Bev_44_45,Bev_45_46,Bev_46_47,Bev_47_48,Bev_48_49,Bev_49_50,Bev_50_51,Bev_51_52,Bev_52_53,Bev_53_54,Bev_54_55,Bev_55_56,Bev_56_57,Bev_57_58,Bev_58_59,Bev_59_60,Bev_60_61,Bev_61_62,Bev_62_63,Bev_63_64,Bev_64_65,Bev_65_66,Bev_66_67,Bev_67_68,Bev_68_69,Bev_69_70,Bev_70_71,Bev_71_72,Bev_72_73,Bev_73_74,Bev_74_75,Bev_75_76,Bev_76_77,Bev_77_78,Bev_78_79,Bev_79_80,Bev_80_81,Bev_81_82,Bev_82_83,Bev_83_84,Bev_84_85,Bev_85_86,Bev_86_87,Bev_87_88,Bev_88_89,Bev_89_90,Bev_90_91,Bev_91_92,Bev_92_93,Bev_93_94,Bev_94_95,Bev_95_96,Bev_96_97,Bev_97_98,Bev_98_99,Bev_99_100,Bev_100_101
0,m,2010,27667942,327309,338368,349229,349199,352148,360688,370995,363496,356965,351790,355145,344574,337076,322996,317980,309945,305110,313367,324403,337046,343991,357200,363315,364520,376642,377103,385487,397538,391623,384229,385964,372655,380880,380805,369422,370811,369418,372822,373242,359561,336044,329983,334321,340409,345749,360708,375568,384636,375401,383381,382860,389406,386668,388054,384446,375450,367033,353738,337972,329177,321653,308159,296626,284029,282719,278642,268184,268738,271970,278608,292024,315843,240337,230038,226476,205959,179879,158067,161540,156343,147733,135514,123492,112133,98000,87528,79030,69067,58264,47498,39195,32087,25126,18816,13900,10023,7136,4991,3276,1311,1927
0,w,2010,28309236,310525,321522,331803,331559,335065,342703,354215,346678,340812,335524,337926,326534,321037,307963,302888,293801,288845,298838,305833,319387,325703,337190,340570,345682,357841,361973,377446,383724,377887,378914,385662,379770,379553,379662,373224,376544,376552,378172,378447,361914,336944,331604,338908,345283,351339,365570,380534,394820,384788,393836,393074,396933,398868,399900,395242,385802,375868,362172,347088,339029,331290,318785,306696,296404,298013,292661,285237,286641,293101,298811,315080,339855,261886,252895,250366,232313,206575,184848,190485,187117,179519,168751,158153,147147,133314,123624,116217,106926,95694,81854,69331,59252,50058,41082,33229,26285,20342,15670,11592,5233,9414
0,m,2011,27667942,327309,338368,349229,349199,352148,360688,370995,363496,356965,351790,355145,344574,337076,322996,317980,309945,305110,313367,324403,337046,343991,357200,363315,364520,376642,377103,385487,397538,391623,384229,385964,372655,380880,380805,369422,370811,369418,372822,373242,359561,336044,329983,334321,340409,345749,360708,375568,384636,375401,383381,382860,389406,386668,388054,384446,375450,367033,353738,337972,329177,321653,308159,296626,284029,282719,278642,268184,268738,271970,278608,292024,315843,240337,230038,226476,205959,179879,158067,161540,156343,147733,135514,123492,112133,98000,87528,79030,69067,58264,47498,39195,32087,25126,18816,13900,10023,7136,4991,3276,1311,1927
0,w,2011,28309236,310525,321522,331803,331559,335065,342703,354215,346678,340812,335524,337926,326534,321037,307963,302888,293801,288845,298838,305833,319387,325703,337190,340570,345682,357841,361973,377446,383724,377887,378914,385662,379770,379553,379662,373224,376544,376552,378172,378447,361914,336944,331604,338908,345283,351339,365570,380534,394820,384788,393836,393074,396933,398868,399900,395242,385802,375868,362172,347088,339029,331290,318785,306696,296404,298013,292661,285237,286641,293101,298811,315080,339855,261886,252895,250366,232313,206575,184848,190485,187117,179519,168751,158153,147147,133314,123624,116217,106926,95694,81854,69331,59252,50058,41082,33229,26285,20342,15670,11592,5233,9414
0,m,2012,27667942,327309,338368,349229,349199,352148,360688,370995,363496,356965,351790,355145,344574,337076,322996,317980,309945,305110,313367,324403,337046,343991,357200,363315,364520,376642,377103,385487,397538,391623,384229,385964,372655,380880,380805,369422,370811,369418,372822,373242,359561,336044,329983,334321,340409,345749,360708,375568,384636,375401,383381,382860,389406,386668,388054,384446,375450,367033,353738,337972,329177,321653,308159,296626,284029,282719,278642,268184,268738,271970,278608,292024,315843,240337,230038,226476,205959,179879,158067,161540,156343,147733,135514,123492,112133,98000,87528,79030,69067,58264,47498,39195,32087,25126,18816,13900,10023,7136,4991,3276,1311,1927
0,w,2012,28309236,310525,321522,331803,331559,335065,342703,354215,346678,340812,335524,337926,326534,321037,307963,302888,293801,288845,298838,305833,319387,325703,337190,340570,345682,357841,361973,377446,383724,377887,378914,385662,379770,379553,379662,373224,376544,376552,378172,378447,361914,336944,331604,338908,345283,351339,365570,380534,394820,384788,393836,393074,396933,398868,399900,395242,385802,375868,362172,347088,339029,331290,318785,306696,296404,298013,292661,285237,286641,293101,298811,315080,339855,261886,252895,250366,232313,206575,184848,190485,187117,179519,168751,158153,147147,133314,123624,116217,106926,95694,81854,69331,59252,50058,41082,33229,26285,20342,15670,11592,5233,9414
0,m,2013,27667942,327309,338368,349229,349199,352148,360688,370995,363496,356965,351790,355145,344574,337076,322996,317980,309945,305110,313367,324403,337046,343991,357200,363315,364520,376642,377103,385487,397538,391623,384229,385964,372655,380880,380805,369422,370811,369418,372822,373242,359561,336044,329983,334321,340409,345749,360708,375568,384636,375401,383381,382860,389406,386668,388054,384446,375450,367033,353738,337972,329177,321653,308159,296626,284029,282719,278642,268184,268738,271970,278608,292024,315843,240337,230038,226476,205959,179879,158067,161540,156343,147733,135514,123492,112133,98000,87528,79030,69067,58264,47498,39195,32087,25126,18816,13900,10023,7136,4991,3276,1311,1927
0,w,2013,28309236,310525,321522,331803,331559,335065,342703,354215,346678,340812,335524,337926,326534,321037,307963,302888,293801,288845,298838,305833,319387,325703,337190,340570,345682,357841,361973,377446,383724,377887,378914,385662,379770,379553,379662,373224,376544,376552,378172,378447,361914,336944,331604,338908,345283,351339,365570,380534,394820,384788,393836,393074,396933,398868,399900,395242,385802,375868,362172,347088,339029,331290,318785,306696,296404,298013,292661,285237,286641,293101,298811,315080,339855,261886,252895,250366,232313,206575,184848,190485,187117,179519,168751,158153,147147,133314,123624,116217,106926,95694,81854,69331,59252,50058,41082,33229,26285,20342,15670,11592,5233,9414
0,m,2014,27667942,327309,338368,349229,349199,352148,360688,370995,363496,356965,351790,355145,344574,337076,322996,317980,309945,305110,313367,324403,337046,343991,357200,363315,364520,376642,377103,385487,397538,391623,384229,385964,372655,380880,380805,369422,370811,369418,372822,373242,359561,336044,329983,334321,340409,345749,360708,375568,384636,375401,383381,382860,389406,386668,388054,384446,375450,367033,353738,337972,329177,321653,308159,296626,284029,282719,278642,268184,268738,271970,278608,292024,315843,240337,230038,226476,205959,179879,158067,161540,156343,147733,135514,123492,112133,98000,87528,79030,69067,58264,47498,39195,32087,25126,18816,13900,10023,7136,4991,3276,1311,1927
0,w,2014,28309236,310525,321522,331803,331559,335065,342703,354215,346678,340812,335524,337926,326534,321037,307963,302888,293801,288845,298838,305833,319387,325703,337190,340570,345682,357841,361973,377446,383724,377887,378914,385662,379770,379553,379662,373224,376544,376552,378172,378447,361914,336944,331604,338908,345283,351339,365570,380534,394820,384788,393836,393074,396933,398868,399900,395242,385802,375868,362172,347088,339029,331290,318785,306696,296404,298013,292661,285237,286641,293101,298811,315080,339855,261886,252895,250366,232313,206575,184848,190485,187117,179519,168751,158153,147147,133314,123624,116217,106926,95694,81854,69331,59252,50058,41082,33229,26285,20342,15670,11592,5233,9414
0,m,2015,27667942,327309,338368,349229,349199,352148,360688,370995,363496,356965,351790,355145,344574,337076,322996,317980,309945,305110,313367,324403,337046,343991,357200,363315,364520,376642,377103,385487,397538,391623,384229,385964,372655,380880,380805,369422,370811,369418,372822,373242,359561,336044,329983,334321,340409,345749,360708,375568,384636,375401,383381,382860,389406,386668,388054,384446,375450,367033,353738,337972,329177,321653,308159,296626,284029,282719,278642,268184,268738,271970,278608,292024,315843,240337,230038,226476,205959,179879,158067,161540,156343,147733,135514,123492,112133,98000,87528,79030,69067,58264,47498,39195,32087,25126,18816,13900,10023,7136,4991,3276,1311,1927
0,w,2015,28309236,310525,321522,331803,331559,335065,342703,354215,346678,340812,335524,337926,326534,321037,307963,302888,293801,288845,298838,305833,319387,325703,337190,340570,345682,357841,361973,377446,383724,377887,378914,385662,379770,379553,379662,373224,376544,376552,378172,378447,361914,336944,331604,338908,345283,351339,365570,380534,394820,384788,393836,393074,396933,398868,399900,395242,385802,375868,362172,347088,339029,331290,318785,306696,296404,298013,292661,285237,286641,293101,298811,315080,339855,261886,252895,250366,232313,206575,184848,190485,187117,179519,168751,158153,147147,133314,123624,116217,106926,95694,81854,69331,59252,50058,41082,33229,26285,20342,15670,11592,5233,9414
0,m,2016,27667942,327309,338368,349229,349199,352148,360688,370995,363496,356965,351790,355145,344574,337076,322996,317980,309945,305110,313367,324403,337046,343991,357200,363315,364520,376642,377103,385487,397538,391623,384229,385964,372655,380880,380805,369422,370811,369418,372822,373242,359561,336044,329983,334321,340409,345749,360708,375568,384636,375401,383381,382860,389406,386668,388054,384446,375450,367033,353738,337972,329177,321653,308159,296626,284029,282719,278642,268184,268738,271970,278608,292024,315843,240337,230038,226476,205959,179879,158067,161540,156343,147733,135514,123492,112133,98000,87528,79030,69067,58264,47498,39195,32087,25126,18816,13900,10023,7136,4991,3276,1311,1927
0,w,2016,28309236,310525,321522,331803,331559,335065,342703,354215,346678,340812,335524,337926,326534,321037,307963,302888,293801,288845,298838,305833,319387,325703,337190,340570,345682,357841,361973,377446,383724,377887,378914,385662,379770,379553,379662,373224,376544,376552,378172,378447,361914,336944,331604,338908,345283,351339,365570,380534,394820,384788,393836,393074,396933,398868,399900,395242,385802,375868,362172,347088,339029,331290,318785,306696,296404,298013,292661,285237,286641,293101,298811,315080,339855,261886,252895,250366,232313,206575,184848,190485,187117,179519,168751,158153,147147,133314,123624,116217,106926,95694,81854,69331,59252,50058,41082,33229,26285,20342,15670,11592,5233,9414
0,m,2017,27667942,327309,338368,349229,349199,352148,360688,370995,363496,356965,351790,355145,344574,337076,322996,317980,309945,305110,313367,324403,337046,343991,357200,363315,364520,376642,377103,385487,397538,391623,384229,385964,372655,380880,380805,369422,370811,369418,372822,373242,359561,336044,329983,334321,340409,345749,360708,375568,384636,375401,383381,382860,389406,386668,388054,384446,375450,367033,353738,337972,329177,321653,308159,296626,284029,282719,278642,268184,268738,271970,278608,292024,315843,240337,230038,226476,205959,179879,158067,161540,156343,147733,135514,123492,112133,98000,87528,79030,69067,58264,47498,39195,32087,25126,18816,13900,10023,7136,4991,3276,1311,1927
